;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;No_voie;Type_de_voie;Voie;Code_postal;Commune;Code_departement;Surface_reelle_bati;Nombre_pieces_principales
2482780;1;2019-01-22;Vente;680000.0;3.0;RUE;GOZLIN;75006.0;PARIS 06;75;48.0;2.0
2482781;1;2019-04-01;Vente;512750.0;10.0;RUE;DU REGARD;75006.0;PARIS 06;75;36.0;2.0
2482782;1;2019-08-01;Vente;950000.0;214.0;BD;SAINT GERMAIN;75007.0;PARIS 07;75;44.0;3.0
2482783;1;2019-01-24;Vente;400000.0;2.0;RUE;DES POITEVINS;75006.0;PARIS 06;75;23.0;1.0
2482785;1;2019-01-17;Vente;2550000.0;53.0;QUAI;DE LA TOURNELLE;75005.0;PARIS 05;75;20.0;1.0
2482786;1;2019-01-17;Vente;2550000.0;53.0;QUAI;DE LA TOURNELLE;75005.0;PARIS 05;75;102.0;4.0
2482788;1;2019-01-31;Vente;839000.0;13.0;AV;DES GOBELINS;75005.0;PARIS 05;75;76.0;4.0
2482790;1;2019-01-28;Vente;1211000.0;25.0;RUE;HENRI BARBUSSE;75005.0;PARIS 05;75;72.0;2.0
2482791;1;2019-01-21;Vente;215000.0;46.0;RUE;DAUPHINE;75006.0;PARIS 06;75;18.0;1.0
2482792;1;2019-01-23;Vente;260000.0;16.0;RUE;SAINT VICTOR;75005.0;PARIS 05;75;22.0;1.0
2482793;1;2019-01-17;Vente;410000.0;6.0;RUE;DE SAVOIE;75006.0;PARIS 06;75;29.0;1.0
2482798;1;2019-01-30;Vente;1250000.0;22.0;AV;DE SAXE;75007.0;PARIS 07;75;77.0;4.0
2482801;1;2019-01-14;Vente;1615000.0;43.0;RUE;DE LILLE;75007.0;PARIS 07;75;107.0;4.0
2482803;1;2019-01-18;Vente;1350000.0;10.0;AV;DANIEL LESUEUR;75007.0;PARIS 07;75;125.0;5.0
2482804;1;2019-01-22;Vente;430000.0;34.0;BD;DE L HOPITAL;75005.0;PARIS 05;75;47.0;2.0
2482805;1;2019-01-31;Vente;456000.0;56.0;RUE;DE VERNEUIL;75007.0;PARIS 07;75;35.0;2.0
2482806;1;2019-01-22;Vente;1640000.0;11.0;RUE;DU CHERCHE MIDI;75006.0;PARIS 06;75;105.0;5.0
2482807;1;2019-01-24;Vente;65000.0;1.0;RUE;REGIS;75006.0;PARIS 06;75;9.0;1.0
2482809;1;2019-09-01;Vente;1050000.0;47.0;RUE;DE LILLE;75007.0;PARIS 07;75;65.0;4.0
2482810;1;2019-01-23;Vente;376200.0;12.0;RUE;DE TOURNON;75006.0;PARIS 06;75;22.0;1.0
2482812;1;2019-01-21;Vente;1000.0;111.0;RUE;NOTRE DAME DES CHAMPS;75006.0;PARIS 06;75;45.0;2.0
2482813;1;2019-01-22;Vente;985000.0;51.0;RUE;MONSIEUR LE PRINCE;75006.0;PARIS 06;75;90.0;3.0
2482816;1;2019-07-01;Vente;845000.0;11.0;RUE;DE LA MONTGN STE GENEVIEVE;75005.0;PARIS 05;75;55.0;3.0
2482817;1;2019-01-29;Vente;206000.0;16.0;RUE;DES FOSSES ST BERNARD;75005.0;PARIS 05;75;19.0;1.0
2482818;1;2019-01-29;Vente;1055000.0;18.0;RUE;DU CARDINAL LEMOINE;75005.0;PARIS 05;75;105.0;5.0
2482819;1;2019-01-29;Vente;1500.0;14.0;RUE;DOMAT;75005.0;PARIS 05;75;30.0;1.0
2482820;1;2019-01-28;Vente;178000.0;64.0;RUE;CLAUDE BERNARD;75005.0;PARIS 05;75;16.0;1.0
2482822;1;2019-10-01;Vente;800000.0;72.0;RUE;DE BELLECHASSE;75007.0;PARIS 07;75;41.0;2.0
2482824;1;2019-01-30;Vente;932500.0;49.0;RUE;VANEAU;75007.0;PARIS 07;75;58.0;3.0
2482825;1;2019-01-31;Vente;640000.0;46.0;RUE;MADAME;75006.0;PARIS 06;75;20.0;1.0
2482826;1;2019-01-31;Vente;640000.0;46.0;RUE;MADAME;75006.0;PARIS 06;75;52.0;2.0
2482827;1;2019-01-30;Vente;278000.0;16.0;RUE;SAINT SEVERIN;75005.0;PARIS 05;75;20.0;1.0
2482828;1;2019-01-16;Vente;148500.0;39.0;RUE;DESCARTES;75005.0;PARIS 05;75;30.0;2.0
2482829;1;2019-01-14;Vente;1065000.0;49.0;BD;DE LA TOUR MAUBOURG;75007.0;PARIS 07;75;106.0;4.0
2482830;1;2019-01-18;Vente;242000.0;14.0;BD;SAINT MARCEL;75005.0;PARIS 05;75;24.0;2.0
2482831;1;2019-12-01;Vente;172000.0;4.0;RUE;DU DRAGON;75006.0;PARIS 06;75;20.0;2.0
2482832;1;2019-01-17;Vente;360000.0;125.0;RUE;DE L UNIVERSITE;75007.0;PARIS 07;75;25.0;1.0
2482833;1;2019-01-30;Vente;337827.0;43.0;RUE;DE BABYLONE;75007.0;PARIS 07;75;33.0;1.0
2482834;1;2019-01-25;Vente;445200.0;34.0;RUE;GAY LUSSAC;75005.0;PARIS 05;75;37.0;3.0
2482835;1;2019-01-31;Vente;1131068.0;28.0;RUE;DU CHAMP DE MARS;75007.0;PARIS 07;75;81.0;4.0
2482836;1;2019-04-02;Vente;543000.0;16.0;RUE;LARREY;75005.0;PARIS 05;75;34.0;2.0
2482840;1;2019-01-24;Vente;1004000.0;55.0;QUAI;DES GRANDS AUGUSTINS;75006.0;PARIS 06;75;80.0;3.0
2482844;1;2019-01-31;Vente;566000.0;96.0;RUE;ST DOMINIQUE;75007.0;PARIS 07;75;44.0;1.0
2482847;1;2019-05-02;Vente;672705.0;58.0;BD;DE PORT ROYAL;75005.0;PARIS 05;75;61.0;3.0
2482848;1;2019-04-02;Vente;831250.0;15.0;RUE;DU CHERCHE MIDI;75006.0;PARIS 06;75;89.0;4.0
2482849;1;2019-01-02;Vente;7000000.0;30.0;RUE;GUYNEMER;75006.0;PARIS 06;75;250.0;7.0
2482853;1;2019-01-15;Vente;2520000.0;50.0;AV;CHARLES FLOQUET;75007.0;PARIS 07;75;112.0;5.0
2482855;1;2019-01-25;Vente;461000.0;33.0;RUE;DE BOURGOGNE;75007.0;PARIS 07;75;58.0;3.0
2482856;1;2019-01-22;Vente;453450.0;27.0;AV;DE LA BOURDONNAIS;75007.0;PARIS 07;75;39.0;2.0
2482857;1;2019-01-31;Vente;580000.0;84.0;BD;SAINT MARCEL;75005.0;PARIS 05;75;53.0;2.0
2482859;1;2019-01-18;Vente;189500.0;4.0;RUE;PIERRE LEROUX;75007.0;PARIS 07;75;20.0;1.0
2482860;1;2019-01-29;Vente;600000.0;24.0;RUE;CENSIER;75005.0;PARIS 05;75;55.0;3.0
2482861;1;2019-01-16;Vente;80000.0;14.0;RUE;LINNE;75005.0;PARIS 05;75;62.0;3.0
2482862;1;2019-01-23;Vente;473720.0;8.0;RUE;DU CHAMP DE MARS;75007.0;PARIS 07;75;38.0;2.0
2482864;1;2019-01-17;Vente;950000.0;56.0;RUE;DE BABYLONE;75007.0;PARIS 07;75;32.0;2.0
2482865;1;2019-01-17;Vente;950000.0;56.0;RUE;DE BABYLONE;75007.0;PARIS 07;75;32.0;2.0
2482866;1;2019-01-02;Vente;844650.0;12.0;RUE;LAPLACE;75005.0;PARIS 05;75;78.0;4.0
2482867;1;2019-01-28;Vente;626400.0;80.0;RUE;DE L UNIVERSITE;75007.0;PARIS 07;75;70.0;2.0
2482868;1;2019-01-29;Vente;554700.0;106.0;RUE;DU CHERCHE MIDI;75006.0;PARIS 06;75;42.0;2.0
2482869;1;2019-01-29;Vente;2000000.0;72.0;RUE;BONAPARTE;75006.0;PARIS 06;75;84.0;4.0
2482870;1;2019-01-30;Vente;160000.0;13.0;RUE;GIT LE COEUR;75006.0;PARIS 06;75;16.0;1.0
2482872;1;2019-08-02;Vente;790000.0;21.0;RUE;PIERRE LEROUX;75007.0;PARIS 07;75;57.0;3.0
2482874;1;2019-01-16;Vente;245000.0;3.0;RUE;DES BOULANGERS;75005.0;PARIS 05;75;27.0;1.0
2482876;1;2019-01-17;Vente;838068.0;14.0;RUE;MONGE;75005.0;PARIS 05;75;64.0;3.0
2482877;1;2019-01-23;Vente;140000.0;6.0;RUE;ROYER COLLARD;75005.0;PARIS 05;75;21.0;1.0
2482878;1;2019-01-30;Vente;442830.0;72.0;RUE;DE SEVRES;75007.0;PARIS 07;75;40.0;1.0
2482879;1;2019-01-30;Vente;640000.0;25.0;RUE;HENRI BARBUSSE;75005.0;PARIS 05;75;60.0;2.0
2482880;1;2019-01-17;Vente;686450.0;21.0;RUE;DE LA COMETE;75007.0;PARIS 07;75;53.0;2.0
2482885;1;2019-01-22;Vente;430000.0;4.0;RUE;DES URSULINES;75005.0;PARIS 05;75;32.0;2.0
2482886;1;2019-10-01;Vente;780000.0;68.0;RUE;MAZARINE;75006.0;PARIS 06;75;70.0;2.0
